1,3,0-50,5,5,5,18-04-25 15:37,18-04-25 15:37
2,3,51-100,10,10,20,18-04-25 15:37,18-04-25 15:37
3,3,101-150,15,20,40,18-04-25 15:37,18-04-25 15:37
4,3,151-200,25,35,65,18-04-25 15:37,18-04-25 15:37
5,3,201-250,35,50,100,18-04-25 15:37,18-04-25 15:37
6,3,251-300,50,75,145,18-04-25 15:37,18-04-25 15:37
7,3,310-350,65,100,195,18-04-25 15:37,18-04-25 15:37
8,3,351-400,85,130,255,18-04-25 15:37,18-04-25 15:37
9,3,401-450,110,160,320,18-04-25 15:37,18-04-25 15:37
10,3,451-500,135,200,395,18-04-25 15:37,18-04-25 15:37
11,3,501-550,160,240,480,18-04-25 15:37,18-04-25 15:37
12,3,551-600,190,285,570,18-04-25 15:37,18-04-25 15:37
13,3,601-650,225,335,665,18-04-25 15:37,18-04-25 15:37
14,3,651-700,260,385,770,18-04-25 15:37,18-04-25 15:37
15,3,701-750,295,445,885,18-04-25 15:37,18-04-25 15:37
16,3,751-800,340,505,1010,18-04-25 15:37,18-04-25 15:37
17,3,801-850,380,570,1135,18-04-25 15:37,18-04-25 15:37
18,3,851-900,425,640,1275,18-04-25 15:37,18-04-25 15:37
19,3,901-950,475,710,1420,18-04-25 15:37,18-04-25 15:37
20,3,950-1000,525,790,1575,18-04-25 15:37,18-04-25 15:37
