1,68,0-40,0-20,45,18-04-25 11:17,18-04-25 11:17
2,68,41-50,0-20,45,18-04-25 11:17,18-04-25 11:17
3,68,51-60,0-20,50,18-04-25 11:17,18-04-25 11:17
4,68,61-70,21-25,50,18-04-25 11:17,18-04-25 11:17
5,68,71-80,21-25,60,18-04-25 11:17,18-04-25 11:17
6,68,81-90,21-25,60,18-04-25 11:17,18-04-25 11:17
7,68,91-100,21-25,75,18-04-25 11:17,18-04-25 11:17
8,68,101-110,21-25,75,18-04-25 11:17,18-04-25 11:17
9,68,111-120,26-30,75,18-04-25 11:17,18-04-25 11:17
10,68,121-130,26-30,90,18-04-25 11:17,18-04-25 11:17
11,68,131-140,31-35,90,18-04-25 11:17,18-04-25 11:17
12,68,141-150,31-35,90,18-04-25 11:17,18-04-25 11:17
13,68,151-175,36-40,120,18-04-25 11:17,18-04-25 11:17
14,68,176-200,36-40,120,18-04-25 11:17,18-04-25 11:17
15,68,201-225,41-50,150,18-04-25 11:17,18-04-25 11:17
16,68,226-250,41-50,150,18-04-25 11:17,18-04-25 11:17
